name,budget,placeType,travelers,duration,description,latitude,longitude
Paris 2,1803,City,Family,5,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",48.8738,2.3415
Bhutan 4,622,Nature,Solo,4,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,27.549,90.4749
Toronto,3732,City,Couple,12,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",43.6725,-79.4057
Canada Wilderness,1153,Nature,Solo,9,"A nature-rich trip with forests, wildlife and calm landscapes. Good for independent travel.",51.1303,-115.5689
Manali 6,2256,Mountains,Solo,3,A mountain retreat with fresh air and adventure activities. Good for independent travel.,32.2519,77.1966
Chicago 2,2996,City,Friends,3,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",41.8443,-87.6595
Madagascar,784,Nature,Couple,3,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-18.9632,46.4016
Amsterdam,2657,City,Family,12,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",52.3921,4.8703
Cancun,5990,Beach,Solo,5,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",21.1595,-86.8315
Istanbul Old Town,1928,Historical,Couple,8,A destination full of ancient sites and local history. Great for romantic trips.,50.0634,19.9346
Istanbul Old Town East,1464,Historical,Solo,6,A destination full of ancient sites and local history. Good for independent travel.,50.0774,19.9101
Petra,1171,Historical,Family,3,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",30.302,35.4257
Bhutan South,1982,Nature,Friends,6,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",27.5129,90.5179
Edinburgh 7,1426,City,Solo,12,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",55.9158,-3.1913
Prague Old Town,2767,Historical,Friends,4,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",50.1255,14.3971
Canada Wilderness West,956,Nature,Family,7,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",51.1748,-115.619
Ooty Hills 9,2779,Mountains,Couple,3,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",11.3633,76.7266
Mauritius Central,5418,Beach,Couple,3,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,-20.2809,57.5551
Zurich 4,2059,City,Family,5,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",47.4206,8.4942
Chicago South,1083,City,Friends,10,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,41.845,-87.6118
Cancun,2735,Beach,Friends,6,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",21.152,-86.8582
Andaman Islands,1515,Nature,Solo,6,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,12.5684,92.8309
Sri Lanka Rainforest,529,Nature,Couple,4,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",6.4297,80.4986
Aspen,1840,Mountains,Couple,9,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",39.1872,-106.7789
Galapagos,1495,Nature,Friends,10,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",40.7043,-3.3112
Ephesus,2283,Historical,Friends,5,A destination full of ancient sites and local history. Fun for group travel and activities.,37.9734,27.3554
Manali,1484,Mountains,Couple,5,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,32.2359,77.1551
Cancun,3046,Beach,Friends,4,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,21.1488,-86.8724
Costa Rica West,1468,Nature,Solo,5,"A nature-rich trip with forests, wildlife and calm landscapes. Good for independent travel.",10.2329,-84.0261
Athens West,2152,Historical,Couple,2,A destination full of ancient sites and local history. Great for romantic trips.,33.9187,-83.3958
Angkor Wat,1234,Historical,Friends,3,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",13.39,103.8604
Iceland 8,734,Nature,Family,3,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,64.9983,-18.0659
Bali,2522,Beach,Solo,4,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",-8.2552,115.1732
Copenhagen North,3171,City,Couple,11,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,55.7076,12.5234
Galapagos,1568,Nature,Family,6,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",40.7005,-3.3452
Dubai Coast 8,3590,Beach,Friends,4,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,25.2751,55.3138
Rome,2872,City,Couple,6,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",41.8764,12.4696
Patagonia,2494,Mountains,Couple,6,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",31.4924,-110.7816
Uganda 2,1050,Nature,Solo,7,"A nature-rich trip with forests, wildlife and calm landscapes. Good for independent travel.",1.4993,32.1751
Patagonia East,2104,Mountains,Couple,5,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,31.5596,-110.764
Rome,1933,City,Friends,2,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,41.8831,12.4983
Himachal Hills,2959,Mountains,Friends,8,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",0.0,0.0
Zanzibar,4024,Beach,Solo,5,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",-6.0666,39.3462
